Project,Commit,Version,NbDependencies,BloatedDirect,BloatedTransitive,UsedDirect,UsedTransitive
codeforkjeff/conciliator,dcac9385863e49cac73f485717c7622f0545f5df,2.2.0,33,1,19,2,11
codeforkjeff/conciliator,710d65c59aa7c4e60359c6a3d57c24bf6f7a2f78,1.0.3,33,1,20,2,10
codeforkjeff/conciliator,63e4e83b07fff934eb84772b1be603830aa593a8,1.5.2,36,1,24,2,9
codeforkjeff/conciliator,823c3ed106c54b21be1f31524e0c35227b9b4faa,2.1.1,33,1,20,2,10
codeforkjeff/conciliator,7cd930fa6cda0c0d27217b5b19fbdee484fea6a6,2.3.0,33,1,19,2,11
codeforkjeff/conciliator,5fac71c48e046d64b0aecba8c0e87c032cc5d266,1.2,36,1,24,2,9
codeforkjeff/conciliator,0ef7950083ee4f69a74dbd612c7feb9563198b05,null,57,4,30,4,19
codeforkjeff/conciliator,683fa8804caa5f6348ee6ab4b29a79b4d1769b4d,2.5.0,33,1,19,2,11
codeforkjeff/conciliator,2144bcf3cb2d36a95e34656a06901f6a992149e0,1.1,36,1,24,2,9
codeforkjeff/conciliator,a60a396dd5b8b556c437b11cecd15e12d6984859,2.0.0,33,1,20,2,10
codeforkjeff/conciliator,a6d95be3198318abc7595db7c81e0c680bbf46bf,2.1.2,33,1,20,2,10
codeforkjeff/conciliator,4603c85021c3bb0cf6175c985e01589a4266cff9,3.0.1,53,3,28,4,18
codeforkjeff/conciliator,f270fd5c08cffb9ad27c3c1105aa3bd891e97508,3.0.5,57,4,30,4,19
codeforkjeff/conciliator,075865a066affbed3ca77f20518df07fc8be5e35,2.1.0,33,1,20,2,10
codeforkjeff/conciliator,59af6fb046f706c7ddcf564cc6c542b4b40ddce2,1.5,36,1,24,2,9
codeforkjeff/conciliator,699fb985cc412d82c667e322ece7209861e5f179,2.4.0,33,1,19,2,11
codeforkjeff/conciliator,420988d979b82aa56e589f67d7dfd8f6254cdd1a,3.0.4,53,3,28,4,18
codeforkjeff/conciliator,afd54ed51810a28cf57d9157c8706df6b78d3e49,1.0.2,36,1,23,2,10
codeforkjeff/conciliator,098918b006ced488a2e73aa8c82b4d9899f0db49,1.4.3,36,1,24,2,9
codeforkjeff/conciliator,bbf5e5f2d48e2df638630f9426940931fa66aa06,1.0,36,1,24,2,9
codeforkjeff/conciliator,c56c40dd2f5985b743a490a78051ac580e546c05,1.4.1,36,1,24,2,9
codeforkjeff/conciliator,9ad139fc94976719ecdc3e1ea2cefb642bbddf67,3.0.0-alpha,53,3,28,4,18
codeforkjeff/conciliator,69c59d49189bf668dc340aca9820c2af738acf9b,3.0.2,53,3,28,4,18
codeforkjeff/conciliator,26e57597eb871e40e4ab9bc70e4d83cb9d2386a6,1.5.1,36,1,24,2,9
codeforkjeff/conciliator,af3db7c6107d1e84c437a54218d0b4062254112e,1.4,36,1,24,2,9
codeforkjeff/conciliator,9e4d6eec3435c762f0b751ebdaa6f5452a1bacd1,1.3,36,1,24,2,9
codeforkjeff/conciliator,ae5a037efae00633981b5bbb5c630b4a652acd69,3.0.3,53,3,28,4,18
codeforkjeff/conciliator,4921ed46b6e2bdcc71a9dd7937ab0f9cfa88e206,1.4.2,36,1,24,2,9
codeforkjeff/conciliator,c7909ca344cebc5eaa33d65e8cad02d728ac1b85,1.0.1,36,1,23,2,10
codeforkjeff/conciliator,7de1d3fbeffb17a980b37d2233d39a5a1f36a6ea,1.0.0,36,1,23,2,10
codeforkjeff/conciliator,bbdcfc850bea3317c7837c23ce8dadd553d2737b,3.0,53,3,28,4,18
thrau/jarchivelib,d177fb811b6178e44b4c55290a4f25fca0ab32a3,0.8.0,4,1,0,2,1
thrau/jarchivelib,e5c32f364195734ca04db9b94fa0430526a9391c,0.5.0,4,0,2,2,0
thrau/jarchivelib,e969ea59fbbd1cfde2b217ef23c33e9a46106ccf,0.4.0,5,0,2,2,1
thrau/jarchivelib,b98db85ea465dffb517e9749a593c8fe36a50e1e,0.2.1,5,0,2,2,1
thrau/jarchivelib,cc486d47c93bcd5bd2ae474dffd2e49fab188188,null,4,1,0,2,1
thrau/jarchivelib,f93d69eb3111fce38322122592e81732a0468172,0.1.0,5,0,2,2,1
thrau/jarchivelib,20737bf69f8d9b48071a0eeeb9844e2f720c3da2,0.6.0,4,0,2,2,0
thrau/jarchivelib,0e74ce05d4a65038744a8d2a743c8c45605f5a19,0.2.2,5,0,2,2,1
thrau/jarchivelib,2e42a0f2c69b4d9652e7d489021ff08b2f16f253,1.1.0,4,1,0,2,1
thrau/jarchivelib,f13e106af37d94dd7e2ff2b636eda3eb29397c17,0.7.0,4,1,1,2,0
thrau/jarchivelib,928e695533c95b28af4be8fe8f3c8d2833916817,0.2.0,5,0,2,2,1
thrau/jarchivelib,13949a5ff6b9c250e845e69aeb8cc4bfb30ba7f4,1.0.0,4,1,0,2,1
thrau/jarchivelib,bae8823cd58e07c838277dcc68bb7984a06e1d1c,0.3.0,5,0,2,2,1
jefalbino/jsmart-web,075c3112b83d10fd4a61351394f979485b5a3801,0.0.3,24,3,11,8,2
jefalbino/jsmart-web,8594504510dffb8184a978e0af5336a56831260f,1.0.0,24,3,11,8,2
damianszczepanik/silencio,33722b1d71bd9760e0ffe2bd4c674ab7720c66c3,1.0.0,11,1,3,3,4
conveyal/osm-lib,8eda1f9b7dc089729d85e059cdfaf51ae32ace2d,null,21,1,8,10,2
conveyal/osm-lib,2c87b0ea2a5bd2bfab2c735ec6cd1d0bdabdd22a,null,21,1,8,10,2
snowflakedb/snowflake-ingest-java,93a9944471e0a8bafb7580ed4a2c8b94fdee7ca9,0.9.8,22,3,8,7,4
snowflakedb/snowflake-ingest-java,fda051431f7615989bb0345c26c330ff0f0d1633,0.9.6,20,2,8,8,2
snowflakedb/snowflake-ingest-java,8a4022f25841c7c1104c7172bbd3bf2f17c82351,0.9.12,22,3,8,8,3
snowflakedb/snowflake-ingest-java,2c48b74de342a10e90f962a1c383946a33762537,0.9.9,22,3,8,7,4
snowflakedb/snowflake-ingest-java,5ac61dc2eb9e75b2c5655889db3412b872326789,null,22,3,8,7,4
snowflakedb/snowflake-ingest-java,fb0edfb36bd4224fc3fe06004d12b67ec3c171d1,0.9.0,15,2,4,7,2
snowflakedb/snowflake-ingest-java,d15cb4b2663deadaa776620b94c4fbe9d31db2bb,0.9.2,16,2,4,8,2
snowflakedb/snowflake-ingest-java,a873b135b5432b2543a73c913cb5ba5c1749d7d5,0.9.11,22,3,8,8,3
snowflakedb/snowflake-ingest-java,d5f38ad60b90d9b2451877d8f550774c3c96242b,0.9.7,22,3,8,7,4
snowflakedb/snowflake-ingest-java,dcbd81865944acde5a0bcbe414353cb8783717c9,0.9.1,15,2,4,7,2
snowflakedb/snowflake-ingest-java,d75eb17d65112df16daf7d9250915dafa87035e6,null,22,3,8,7,4
snowflakedb/snowflake-ingest-java,5c5805b75543b71cde912b49eaf7afa9aea69b21,0.1,15,3,4,5,3
snowflakedb/snowflake-ingest-java,d1a94c3717bd8603eafc1ea1da3e8b045056b5b0,0.9.10,22,3,8,7,4
snowflakedb/snowflake-ingest-java,4db0b271db81c59a1e1f433e92f1b14c9e24d7ba,null,22,3,8,7,4
snowflakedb/snowflake-ingest-java,18d25756b8275c4db7bc7aaad1a6f3a8b20027a5,null,22,3,8,7,4
snowflakedb/snowflake-ingest-java,42516f7f6d80255e4caf8e76632d707687073bea,0.9.4,16,2,4,8,2
snowflakedb/snowflake-ingest-java,12c93e2a5aeb523021dfe2c39ae3428de6f99401,0.9.5,16,2,4,8,2
snowflakedb/snowflake-ingest-java,54558d12b19670c64c218742194e1843c416aa5b,0.9.3,16,2,4,8,2
NLPchina/nlp-lang,fd7b6a9b4557c28cec84d0b83f6792780de2d2a0,1.7.2,6,0,1,5,0
NLPchina/nlp-lang,135834b1a23f7f510d9cf292ce4a1e0d911f5812,1.7.3,6,0,1,5,0
NLPchina/nlp-lang,8669d93e8244e0f302f7d156baed175221adfcc1,0.2,2,0,1,1,0
NLPchina/nlp-lang,ef25b2cbf08385674a05fdfad1c8ced66e3a17a3,1.2,2,0,1,1,0
NLPchina/nlp-lang,34c4f0f217d1bc5ab6874746bbc556f9f4b50e72,1.7.7,6,0,1,5,0
NLPchina/nlp-lang,5e31875509ce7614e7e099a2578e72c9bb4a9fca,null,6,0,1,5,0
NLPchina/nlp-lang,13b4e13dae958a4ddbc032bb02d617bcd5d18be0,1.3,2,0,1,1,0
NLPchina/nlp-lang,4bd5719c132d43fbb78f93642b0488b66ecd0a0f,1.0.2,3,0,1,2,0
NLPchina/nlp-lang,8394dcea15322965d095d1a5c314967631da4dab,1.0,3,0,1,2,0
NLPchina/nlp-lang,e4a6df0fc9827d9d016bd29056cddb5937a85792,1.7,6,0,1,5,0
NLPchina/nlp-lang,f0fb94b47c29969403011456ebf305ee7fab074c,1.7.1,6,0,1,5,0
NLPchina/nlp-lang,f7b036c8ddd41fecc27fe93eb8ae85955ad8f5c7,1.1,2,0,1,1,0
NLPchina/nlp-lang,c9b3f601fc93cda964dcce550ae097e6b6732a08,0.3,2,0,1,1,0
NLPchina/nlp-lang,025b9ec29d467de322d36c1f1185f3f8d5782214,1.7.8,6,0,1,5,0
NLPchina/nlp-lang,0f48bc16a9be33151f2849b28903a663bda32e06,1.6,6,0,1,5,0
NLPchina/nlp-lang,cb093b378d5d496bf5cbb39a423104be6ec99c80,1.7.6,6,0,1,5,0
trustin/os-maven-plugin,588db3681c0063155e2ad538f58f76fc07dd6d55,1.3.0.Final,47,2,32,3,10
trustin/os-maven-plugin,6f4cf50d2cf5e305bd9c501bef0cd83222614713,1.4.0.Final,47,2,31,3,11
trustin/os-maven-plugin,8c0285c50fc6fde10dda6ebb9e48e54d56729e40,1.6.1,51,2,33,4,12
trustin/os-maven-plugin,cd545710ca66edb1b96ca9506608e7894f31ab5e,1.6.0,51,2,33,4,12
trustin/os-maven-plugin,c4ae162b549886ab612fe28e971da70fd55cbd98,1.5.0.Final,47,2,31,3,11
trustin/os-maven-plugin,6928146cf3f892a4adb70e19efe16293cb24a072,1.4.1.Final,47,2,31,3,11
trustin/os-maven-plugin,3d168a9d9731953d8a9002a73bd4657f2164648a,1.6.2,51,2,33,4,12
trustin/os-maven-plugin,0d76872630d847db25d16bca8936f7c36fcc2170,null,51,2,33,4,12
NationalSecurityAgency/emissary,5ce190e4899c58097c45a60c44d1c6817a46407a,5.3.0,169,14,104,32,19
NationalSecurityAgency/emissary,5edf9717ac66548ac161b4ae3657235c87aec62a,5.9.0,177,20,103,31,23
NationalSecurityAgency/emissary,9a6af2932dfd27a0443a4123d6283169a3647ed4,5.4.1,169,14,104,32,19
NationalSecurityAgency/emissary,21e1b08092bff701e557cf8caf4eeb4788f216d1,5.5.0,169,14,104,32,19
NationalSecurityAgency/emissary,7d87b0a89ae1e95b24c314a4201e1e721834286d,5.6.0,166,14,99,32,21
NationalSecurityAgency/emissary,5992ccf4fb920ccfeced1e00c76f6d47e29a2a64,5.8.0,177,20,103,31,23
NationalSecurityAgency/emissary,7a9006d1a99eda95b579d378f921a77a05255198,null,177,20,103,31,23
NationalSecurityAgency/emissary,48d1d04277e19635441a31006eb052a690afd7eb,5.10.0,182,20,109,31,22
NationalSecurityAgency/emissary,8ccf26e0edda48f17110ca9db36b57778c8445b8,5.2.0,164,14,99,32,19
NationalSecurityAgency/emissary,a92917bb379872206bf8cff09589c825c3e1da12,5.7.0,166,14,98,32,22
NationalSecurityAgency/emissary,59bfa91cea5c1d3d1313b66d2c711160e5f75de5,null,177,20,103,31,23
NationalSecurityAgency/emissary,92733d81ddc4bd1d10ca535a648a4c1c951f9b95,5.4.0,169,14,104,32,19
vert-x3/vertx-zookeeper,37fc0b00159c9c9d8b2070cb4262b176e83f3ebd,3.3.3,34,3,11,5,15
vert-x3/vertx-zookeeper,94bed483a07212115d4d2cb4b7b78d5ab8040a1d,3.6.0,41,5,16,6,14
vert-x3/vertx-zookeeper,2bb2df20b685602abc861e5bd82421ac749eb40d,4.0.0-milestone4,39,5,15,6,13
vert-x3/vertx-zookeeper,c6da5d879fd601c39f3c905236e9cafa6e62755c,3.4.1,36,3,13,5,15
vert-x3/vertx-zookeeper,01a997dec11630adb59d40a66a631bdc66a813e5,3.6.0.CR2,41,5,16,6,14
vert-x3/vertx-zookeeper,3d9c8612fe68a2ebac5f5c026eacad0da6f29aef,3.5.0.Beta1,35,3,12,5,15
vert-x3/vertx-zookeeper,029aaf21e8397082a6743b71e35009d17837d2ed,3.5.0,36,4,12,6,14
vert-x3/vertx-zookeeper,9c9c49576567beb98b56694c601f273e5d4793fb,3.4.0,36,3,13,5,15
vert-x3/vertx-zookeeper,13a23593e95a714a3f2dbd8bbe202729d73394c2,4.0.0-milestone3,39,5,15,6,13
vert-x3/vertx-zookeeper,0bdcf170c9eb84c286588d877ab05db705d771f2,3.6.0.CR1,41,5,16,6,14
vert-x3/vertx-zookeeper,b037af0a76e905bf76b183f2c91300c247715884,4.0.0-milestone2,39,5,14,6,14
vert-x3/vertx-zookeeper,0728e65ce7e016858c6c94eeb41a69d2e1023832,4.0.0-milestone1,39,5,14,6,14
vert-x3/vertx-zookeeper,1dc726d67fae70ba5ea311894bb5f667b2c12f23,3.3.2,34,3,11,5,15
vert-x3/vertx-zookeeper,a1aa5481d4573f59c09e8d26b936d42cd2e1475e,3.4.2,35,3,12,5,15
vert-x3/vertx-zookeeper,eb234d4ae0b8bc5b9bf26e58152bd1bfe4698fa3,3.5.1,39,5,14,6,14
UweTrottmann/tmdb-java,eea87caf513ebc34d93040cbccf59cb52e52f9d7,1.4.0,9,0,2,5,2
UweTrottmann/tmdb-java,1ab7c74609e15fdd72bf7ba390677ad9c51eac9a,2.0.3,17,0,8,6,3
UweTrottmann/tmdb-java,901ab5521869dc20d518ed2fb92bcb344f4bd1ae,0.9.1,7,1,2,3,1
UweTrottmann/tmdb-java,922fc30eb599a49c092c1d8901327da44575ad57,2.0.1,17,0,8,6,3
UweTrottmann/tmdb-java,d9667bc6b5356ea38ec071c01256f6049df7e99b,0.4.0,6,0,2,3,1
UweTrottmann/tmdb-java,bfc549346aa3b4b19dcbad3acea7262d80d50faa,0.9.0,7,1,2,3,1
UweTrottmann/tmdb-java,64223a9ddefe3d8c340fc3571171793402fdd761,0.10.1,7,1,2,3,1
UweTrottmann/tmdb-java,d5122c314a491d4160d212d7acd00756bbb161d2,1.8.2,11,0,2,7,2
UweTrottmann/tmdb-java,e9e13459098fbedabb08745f4f855d5f5e65cb59,0.10.0,7,1,2,3,1
UweTrottmann/tmdb-java,bb76bb4e90ec553fba4af3520b5eba61595fe0bc,1.2.0,9,0,2,5,2
UweTrottmann/tmdb-java,c7762b133b75430530ad4938f3e591b1515df2dc,0.6.0,6,0,2,3,1
UweTrottmann/tmdb-java,07babcab21540e54d56514573fcfe12362faee03,1.10.0,15,0,6,6,3
UweTrottmann/tmdb-java,0de4661373d524580fe382dd2da95ed6795aabc3,1.8.0,11,0,2,7,2
UweTrottmann/tmdb-java,9aeef524a6de17df71c339e2c5530805698f0a04,null,17,0,8,6,3
UweTrottmann/tmdb-java,fb315f565d6bb69b09782e1f22fd4509b1ef239f,1.6.0,9,0,2,5,2
UweTrottmann/tmdb-java,adb15679417913f4506eb039b3426c3c799b5fbd,1.5.0,9,0,2,5,2
UweTrottmann/tmdb-java,4a64b4eb3326a1e71c972a69c5e5c410faa3cfcd,0.2.0,7,2,2,2,1
UweTrottmann/tmdb-java,f0992851b7ef92e1ed0f8b38b8732047ec0f3381,1.3.0,9,0,2,5,2
UweTrottmann/tmdb-java,8410f2a2aed5531392c9a69a80521813f65b176c,0.9.2,7,1,2,3,1
UweTrottmann/tmdb-java,1847690307c12d71f74fc2fb4465839e6965b1e5,2.2.0,17,0,8,6,3
UweTrottmann/tmdb-java,e7ec11b28e1e598030aa9ef72ccd8a9d6a993c89,0.7.0,9,2,3,3,1
UweTrottmann/tmdb-java,f7beeb069490dd7fb88c32ef95c0a8a62db857dc,1.0.0,9,0,2,6,1
UweTrottmann/tmdb-java,fbdff60a9379d63bdd8f06782e1aa2c8735da47d,0.1,4,0,1,3,0
UweTrottmann/tmdb-java,cacd972836e36f0836d748fe0e59fe0a679c54da,2.1.0,17,0,8,6,3
UweTrottmann/tmdb-java,472a615774c3c23f8328b0526cb029ee5d5e8828,1.8.3,11,0,2,7,2
UweTrottmann/tmdb-java,95fc7129834d88476a902b021dac9ba0b812ce2b,0.5.0,6,0,2,3,1
UweTrottmann/tmdb-java,03924bbbedf20ea37bd85703099e204e1ce0d874,0.3.0,6,0,2,3,1
UweTrottmann/tmdb-java,9de98287fd5fab2122819894d3c9182108cf123a,1.10.1,15,0,6,6,3
UweTrottmann/tmdb-java,8277f4708f43fd53dc0bc62147af134eb2e13c5e,1.9.0,15,0,6,6,3
UweTrottmann/tmdb-java,34ae6b054067c5fd81d70d226be22f8bac233add,2.0.2,17,0,8,6,3
UweTrottmann/tmdb-java,c3de33de8e50583791ab8a275ef2853d70754c5a,0.4.1,6,0,2,3,1
UweTrottmann/tmdb-java,b0e6ff459b46deee6ebe602640f24bf9da4d48ef,1.8.1,11,0,2,7,2
UweTrottmann/tmdb-java,8809b669b408358a7a93f16be182b398774f24c7,2.0.0,17,0,8,6,3
UweTrottmann/tmdb-java,f4a02598647ff6ae98dbbedd9230e7b27278d797,2.1.1,17,0,8,6,3
UweTrottmann/tmdb-java,1a6490470a1d31102d9c4cae00b0bbf8e8c69a54,1.1.0,9,0,2,5,2
UweTrottmann/tmdb-java,02b727d8a5e74b6c843bb1a1c123fe8c1e4d5eed,1.7.0,9,0,2,5,2
UweTrottmann/tmdb-java,911c6801796416740051e5d96fce104133c15755,1.8.4,11,0,2,7,2
UweTrottmann/tmdb-java,721f016a9a738716d98842a97039377061d69efc,0.8.0,7,1,2,3,1
percy/percy-java-selenium,51f04512521bd1a56e976ac56262fe362071d4dd,null,26,2,20,1,3
percy/percy-java-selenium,6a79acb982ad814717b92cdaf4ed9d2e12e789cb,null,31,2,22,3,4
percy/percy-java-selenium,31ad9fd87339296322ec5349dc2459be139897a4,null,26,2,20,1,3
percy/percy-java-selenium,b44ed1c28ae36f20096cd658c86201ba737e50c4,null,26,2,20,1,3
percy/percy-java-selenium,96025b10df5ea7771b22d6136a7944be114980dc,null,26,2,20,1,3
percy/percy-java-selenium,812679c4089a0b4a253c3dc1966823118289b9bd,0.1.2,31,2,22,3,4
percy/percy-java-selenium,cb5d449caefcddfe3df894892fb89fff0e2dd379,null,26,2,20,1,3
percy/percy-java-selenium,4ecf88f484a0d2b0c75684fab84ac9697fea1bab,null,26,2,20,1,3
percy/percy-java-selenium,d29217fee0a0ffcacf029daac8eb65ceab842ada,null,31,2,22,3,4
percy/percy-java-selenium,748868c16cb9ad22a7d1ec47c91776a69ac5d670,0.1.0,31,2,22,3,4
percy/percy-java-selenium,fcb620a66fbc21ae307efb5f5999e784637fce2b,null,31,2,22,3,4
percy/percy-java-selenium,3084ad39dfa8dda2979db8bcd58d86a98cad5c26,null,26,2,20,1,3
percy/percy-java-selenium,b95eae297dfb30cefd3ebfda55856886bf42bf3a,null,31,2,22,3,4
percy/percy-java-selenium,2a2cb5063c1a6596d791f3684fc4840d3a462fe7,null,26,2,20,1,3
percy/percy-java-selenium,e20b89164623445f7268a21ea97fa9e471ddef3a,null,26,2,20,1,3
percy/percy-java-selenium,998a2f56d868211f11a3e26642ac243abdb141fd,null,31,2,22,3,4
percy/percy-java-selenium,62d948092eb77997c60718c260aee6049b1643a0,null,31,2,22,3,4
percy/percy-java-selenium,7cf55db5fb3488b04eda342c99685aaf98653049,null,26,2,20,1,3
percy/percy-java-selenium,06f72ba40a9c9cbc25dc5c998ce63ae2ddf15404,null,26,2,20,1,3
percy/percy-java-selenium,d1cd8e3eb5a7d7c6a07c4dbac5f0b1c55f62fddc,null,31,2,22,3,4
percy/percy-java-selenium,603a80174140ad77f9af32d825a27695d2310dfd,0.1.4,31,2,22,3,4
percy/percy-java-selenium,01075e671832011be9118c58e6ff5d79fd77bdea,null,31,2,22,3,4
percy/percy-java-selenium,882c776c61b2f8133ba4bb370ca2f186213b880b,null,31,2,22,3,4
percy/percy-java-selenium,ca24afd1b515897423722d5a5549496c458a3f8f,null,26,2,20,1,3
percy/percy-java-selenium,f867ade77f7e45d0d5bad419c7a3b4ecc1370aa2,null,26,2,20,1,3
percy/percy-java-selenium,dd4416a2493693066ec6e532feb8409e29681696,null,26,2,20,1,3
percy/percy-java-selenium,573f70e39f033b86caed47e43df85c171fa12ae7,null,31,2,22,3,4
percy/percy-java-selenium,34c38337f7fa3d28363028ffb3912bcdd3a24ab4,null,26,2,20,1,3
percy/percy-java-selenium,799f6ddfb7d24dad716d30b9007d73b69d4c97ac,null,26,2,20,1,3
percy/percy-java-selenium,101c78c43080b3021886d426636434ef7120b92d,0.1.3,31,2,22,3,4
percy/percy-java-selenium,4669a371c29b2efb2c4353fd03ba97bf40d1f992,null,26,2,20,1,3
percy/percy-java-selenium,4e00d4e3615c29fc933579fb8cd718d9339e57a7,null,26,2,20,1,3
percy/percy-java-selenium,3f406f752e409631bad8d83c87c9690e95b3bc24,null,26,2,20,1,3
percy/percy-java-selenium,b7f654244384ecb24fbdcaa3f86471d1fe0ee16d,null,31,2,22,3,4
percy/percy-java-selenium,7ab2d5d5bd7226f39b1dce641a4d257c78a57af3,null,31,2,22,3,4
percy/percy-java-selenium,0fabb70fe731b47455d67bf8428085cf0e78339a,null,26,2,20,1,3
percy/percy-java-selenium,87524d68d9a8ea350f2cdc96f99c7e0f2109101d,0.1.1,31,2,22,3,4
percy/percy-java-selenium,b8ecca0e1aa758d1d5560d9860c3d74d2662e0ff,null,31,2,22,3,4
percy/percy-java-selenium,e9504c1d06345bdd47aaedc3d459c95e0d97d5d5,null,31,2,22,3,4
percy/percy-java-selenium,ee3d6e21f40cb04323f24f08fd8e6e4b8021eaf8,0.0.5,26,2,20,1,3
percy/percy-java-selenium,51d48da53df9cff6eb73cc7d4bc94a590e7e71fa,0.0.6,31,2,22,3,4
percy/percy-java-selenium,0c82449fe98010f91c910f5b176b16c3fe772e3d,null,26,2,20,1,3
percy/percy-java-selenium,a3ef6ee09938ef1355484ba82f81eedd5d669332,null,31,2,22,3,4
percy/percy-java-selenium,d8c74d4e6bef1e9e140dacfdbfffaeb955ab57b5,null,26,2,20,1,3
percy/percy-java-selenium,9c1da3c3c101b18bb7fd05c1d16786ee9abfd1f0,null,31,2,22,3,4
percy/percy-java-selenium,6611b3153af69de6aff97a04ee2fc2e6bd675b4e,0.0.4,26,2,20,1,3
percy/percy-java-selenium,93e3b64f296180595aa3145e8b23ab29e069b5ee,null,26,2,20,1,3
hugegraph/hugegraph-common,0ff4b0e23437c24b99863ced9d39d00206cf87f7,1.6.14,47,7,16,10,14
hugegraph/hugegraph-common,49bff5eadc8371dd726584ac66e935995afd9287,1.6.16,47,7,16,10,14
hugegraph/hugegraph-common,4bd64ce8b584b5247efc296063aff201ea998c79,1.7.2,47,7,15,10,15
hugegraph/hugegraph-common,591d3f3834764b53c54a54002740f19f606d534e,1.5.1,37,8,16,5,8
hugegraph/hugegraph-common,146e4bc3621f04e61834fc0e879d87aab3cceebf,1.5.3,37,8,16,5,8
hugegraph/hugegraph-common,6f20cb8bdcd0736f14d505de9b27901f33dcc8fa,1.5.4,38,9,15,5,9
hugegraph/hugegraph-common,ce75fb96e026c57a1e1fb1de06ec7bdb7ed5423e,1.6.9,45,8,17,8,12
hugegraph/hugegraph-common,f8e65f83bd68c0ae51cd699512167fc37cde83c8,1.6.12,45,8,17,8,12
hugegraph/hugegraph-common,0d90ae433102504aeaec10d61f53df498e8b01c2,1.7.5,49,10,14,12,13
hugegraph/hugegraph-common,9962e0c9c9ac2ebe55e1f1b166618cc8d902075a,1.8.1,53,9,18,12,14
hugegraph/hugegraph-common,50c77380561c64ad02acad152bd3f3d15388b385,1.4.6,36,8,15,5,8
hugegraph/hugegraph-common,9f329f5f3a8f413dc780a3ad0bf408c5f5a7bf72,null,53,9,18,12,14
hugegraph/hugegraph-common,85a6b7e24d6dac30781f6bf991a43b8a36e1f4aa,1.6.6,45,8,17,8,12
hugegraph/hugegraph-common,1eb2414134b639a13f68ca352c1b3eb2d956e7b2,1.6.0,45,8,17,8,12
hugegraph/hugegraph-common,553cd60b8f129ef5aab89fd5e48aa9e6b34e53ce,1.4.9,37,8,16,5,8
hugegraph/hugegraph-common,87c582648088a6ee86eea61032be00a1132d0121,1.5.9,45,8,17,8,12
hugegraph/hugegraph-common,fffccf1b2f78b9b374674563687a12d811e81bf3,1.7.4,49,10,14,12,13
hugegraph/hugegraph-common,d78b728aa22d48ddad365480755a55bcd676e5a0,1.7.0,47,7,16,10,14
hugegraph/hugegraph-common,5f6012cbe41a579212d26499dd8ab73af7cbc25c,1.5.6,38,9,15,5,9
hugegraph/hugegraph-common,034e1a251316a3027c225f764679dcd004dd332b,1.7.7,49,10,14,12,13
hugegraph/hugegraph-common,b4fb1f7443386b8d1301b993851a75a6b7b533ea,1.7.8,53,10,18,12,13
hugegraph/hugegraph-common,b525aef0265ed27b21f7c41b781b79f52bba202e,1.6.7,45,8,17,8,12
hugegraph/hugegraph-common,16fbcb354da7ca4412a6a545bb10cf8600cf0339,1.5.2,37,8,16,5,8
hugegraph/hugegraph-common,0436a145911b90c642f2cb2af20779126591ac23,1.6.10,45,8,17,8,12
hugegraph/hugegraph-common,2f453c0af9b5aee581e2cf92189bf80bffb57d1d,1.6.5,45,8,17,8,12
hugegraph/hugegraph-common,64bd1543e844a29bd1d58af922a71117121c5072,1.6.4,45,8,17,8,12
hugegraph/hugegraph-common,95530cc4b3801084f2c1771fb3067bf5d63d0da5,1.5.8,38,8,14,7,9
hugegraph/hugegraph-common,9db431015a6f6e68b2b6ce2c5e6d5d8ee8b06d51,1.4.7,37,8,16,5,8
hugegraph/hugegraph-common,24b8a33e9c85af00a881f0521b167a70518ee259,1.7.1,47,7,15,10,15
hugegraph/hugegraph-common,cc463411ea64fa91104ee2b52bf980c9fd80237a,1.6.11,45,8,17,8,12
hugegraph/hugegraph-common,5ea077f13eb0497039ba64903c2927979efd955f,1.6.2,45,8,17,8,12
hugegraph/hugegraph-common,544599e316a9eb8879095cb7191d3fd64f27a20d,1.7.9,53,10,18,12,13
hugegraph/hugegraph-common,c2c5ba4689f178481be7a995db9d0a15f9e951b5,1.7.6,49,10,14,12,13
hugegraph/hugegraph-common,5bac575b29c20acc33d2ebed20dadd597e92d05b,1.5.7,38,9,15,5,9
hugegraph/hugegraph-common,194ed53b8588cd309cc79a9a84d02bf0633d40d6,1.6.1,45,8,17,8,12
hugegraph/hugegraph-common,4eda6313eb6d3cad03f2dd6ee92a1303f1226ab7,1.6.15,47,7,16,10,14
hugegraph/hugegraph-common,0a71d120f99e664aa730de1a2fc2dcfb98af11d9,1.7.3,47,7,15,10,15
hugegraph/hugegraph-common,2d4a8eebf86880aeaafbd3cab77cd5ecd8d01b4e,1.8.0,53,9,18,12,14
hugegraph/hugegraph-common,1db56cfd86e764b8d0ee272b763e0ee8b001a4ee,1.4.8,37,8,16,5,8
hugegraph/hugegraph-common,41bc25ce859d00d63d12127e9337550e23dfe7ba,1.6.13,45,8,17,8,12
hugegraph/hugegraph-common,bbbc8e70f5cd41acc34c77465aa9606de43a6ec6,1.5.5,38,9,15,5,9
hugegraph/hugegraph-common,1a66a608976a0a9c737a3ecd9c7d76946f9af201,1.6.3,45,8,17,8,12
hugegraph/hugegraph-common,88d88382098f8b466aa30e27431193359f7befbd,1.6.8,45,8,17,8,12
hugegraph/hugegraph-common,07793f9971cf347fa976bc57123e5f5b076688f6,1.5.0,37,8,16,5,8
